Family,Genus,SpecificEpithet,SubspecificEpithet,InfraspecificEpithet,InfraspecificRank,Authorship
Nymphalidae,Melitaea,athalia,,,,"(Rottemburg, 1775)"
Nymphalidae,Melitaea,athalia,athalia,,,"(Rottemburg, 1775)"
Nymphalidae,Melitaea,athalia,helvetica,,,"R\u00fchle, 1898"
Nymphalidae,Melitaea,aurelia,,,,"Nickerl, 1850"
Nymphalidae,Melitaea,britomartis,,,,"Assmann, 1847"
Nymphalidae,Melitaea,cinxia,,,,"(Linnaeus, 1758)"
Nymphalidae,Melitaea,deione,,,,"(Geyer, 1832)"
Nymphalidae,Melitaea,diamina,,,,"(Lang, 1789)"
Nymphalidae,Melitaea,dictynna,,,,"(Esper, 1779)"
Nymphalidae,Melitaea,didyma,,,,"(Esper, 1778)"
Nymphalidae,Melitaea,parthenoides,,,,"Keferstein, 1851"
Nymphalidae,Melitaea,phoebe,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Melitaea,varia,,,,"Meyer-D\u00fcr, 1851"
Nymphalidae,Mellicta,asteria,,,,"(Freyer, 1828)"
Nymphalidae,Mellicta,athalia,,,,"(Rottemburg, 1775)"
Nymphalidae,Mellicta,aurelia,,,,"(Nickerl, 1850)"
Nymphalidae,Mellicta,britomartis,,,,"(Assmann, 1847)"
Nymphalidae,Mellicta,deione,,,,"(Duponchel, 1832)"
Nymphalidae,Mellicta,parthenie,,,,"(Godart, 1819)"
Nymphalidae,Mellicta,parthenie,,,,"(Borkhausen, 1788)"
Nymphalidae,Mellicta,parthenoides,,,,"(Keferstein, 1851)"
Nymphalidae,Mellicta,varia,,,,"(Meyer-Duer, 1851)"
Geometridae,Menophra,abruptaria,,,,"(Thunberg, 1792)"
Geometridae,Menophra,nycthemeraria,,,,"(Geyer, 1831)"
Noctuidae,Mesapamea,didyma,,,,"(Esper, 1788)"
Noctuidae,Mesapamea,insolita,,,,"Rezbanyai-Reser, 1996"
Noctuidae,Mesapamea,remmi,,,,"Rezbanyai-Reser, 1985"
Noctuidae,Mesapamea,secalella,,,,"(Remm, 1983)"
Noctuidae,Mesapamea,secalis,,,,"(Linnaeus, 1758)"
Nymphalidae,Mesoacidalia,aglaja,,,,"(Linnaeus, 1758)"
Noctuidae,Mesogona,acetosellae,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Mesogona,oxalina,,,,"(H\u00fcbner, 1803)"
Geometridae,Mesoleuca,albicillata,,,,"(Linnaeus, 1758)"
Noctuidae,Mesoligia,bicoloria,,,,"(Villers, 1789)"
Noctuidae,Mesoligia,furuncula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Mesoligia,literosa,,,,"(Haworth, 1809)"
Noctuidae,Metachrostis,dardouini,,,,"(Boisduval, 1840)"
Noctuidae,Methorasa,latreillei,,,,"(Duponchel, 1827)"
Arctiidae,Miltochrista,miniata,,,,"(Forster, 1771)"
Sphingidae,Mimas,tiliae,,,,"(Linnaeus, 1758)"
Geometridae,Minoa,murinata,,,,"(Scopoli, 1763)"
Nymphalidae,Minois,dryas,,,,"(Scopoli, 1763)"
Noctuidae,Minucia,lunaris,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Mniotype,adusta,,,,"Esper, 1790"
Noctuidae,Mniotype,solieri,,,,"(Boisduval, 1840)"
Noctuidae,Moma,alpium,,,,"(Osbeck, 1778)"
Noctuidae,Mormo,maura,,,,"(Linnaeus, 1768)"
Noctuidae,Mythimna,albipuncta,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Mythimna,andereggii,,,,"(Boisduval, 1840)"
Noctuidae,Mythimna,comma,,,,"(Linnaeus, 1761)"
Noctuidae,Mythimna,congrua,,,,"(H\u00fcbner, 1817)"
Noctuidae,Mythimna,conigera,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Mythimna,ferrago,,,,"(Fabricius, 1787)"
Noctuidae,Mythimna,impura,,,,"(H\u00fcbner, 1808)"
Noctuidae,Mythimna,l-album,,,,"(Linnaeus, 1767)"
Noctuidae,Mythimna,loreyi,,,,"(Duponchel, 1827)"
Noctuidae,Mythimna,obsoleta,,,,"(H\u00fcbner, 1803)"
Noctuidae,Mythimna,pallens,,,,"(Linnaeus, 1758)"
Noctuidae,Mythimna,pudorina,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Mythimna,punctosa,,,,"Treitschke, 1825"
Noctuidae,Mythimna,riparia,,,,"(Rambur, 1829)"
Noctuidae,Mythimna,scirpi,,,,"(Duponchel, 1836)"
Noctuidae,Mythimna,straminea,,,,"(Treitschke, 1825)"
Noctuidae,Mythimna,turca,,,,"(Linnaeus, 1761)"
Noctuidae,Mythimna,unipuncta,,,,"(Haworth, 1809)"
Noctuidae,Mythimna,vitellina,,,,"(H\u00fcbner, 1808)"
Noctuidae,Mythimna,zeae,,,,"Duponchel, 1827"
Noctuidae,Naenia,typica,,,,"(Linnaeus, 1758)"
Psychidae,Narycia,astrella,,,,"(Herrich-Sch\u00e4ffer, 1851)"
Psychidae,Narycia,duplicella,,,,"(Goeze, 1783)"
Geometridae,Nebula,ablutaria,,,,"(Boisduval, 1840)"
Geometridae,Nebula,achromaria,,,,"(La Harpe, 1852)"
Geometridae,Nebula,nebulata,,,,"(Treitschke, 1828)"
Geometridae,Nebula,salicata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Nebula,tophaceata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Neozephyrus,quercus,,,,"(Linnaeus, 1758)"
Nymphalidae,Neptis,lucilla,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Neptis,rivularis,,,,"(Scopoli, 1763)"
Noctuidae,Noctua,comes,,,,"H\u00fcbner, 1813"
Noctuidae,Noctua,fimbriata,,,,"(Schreber, 1759)"
Noctuidae,Noctua,interjecta,,,,"H\u00fcbner, 1803"
Noctuidae,Noctua,interposita,,,,"H\u00fcbner, 1790"
Noctuidae,Noctua,janthe,,,,"(Borkhausen, 1792)"
Noctuidae,Noctua,janthina,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Noctua,orbona,,,,"(Hufnagel, 1766)"
Noctuidae,Noctua,pronuba,,,,"Linnaeus, 1758"
Noctuidae,Noctua,tirrenica,,,,"Biebinger Speidel & Hanigk, 1983"
Noctuidae,Nodaria,nodosalis,,,,"(Herrich-Sch\u00e4ffer, 1851)"
Nolidae,Nola,aerugula,,,,"(H\u00fcbner, 1793)"
Nolidae,Nola,chlamitulalis,,,,"(H\u00fcbner, 1813)"
Nolidae,Nola,cicatricalis,,,,"(Treitschke, 1835)"
Nolidae,Nola,confusalis,,,,"(Herrich-Sch\u00e4ffer, 1847)"
Nolidae,Nola,cristatula,,,,"(H\u00fcbner, 1793)"
Nolidae,Nola,cucullatella,,,,"(Linnaeus, 1758)"
Nolidae,Nola,subchlamydula,,,,"Staudinger, 1871"
Noctuidae,Nonagria,typhae,,,,"(Thunberg, 1784)"
Geometridae,Nothocasis,sertata,,,,"(H\u00fcbner, 1817)"
Notodontidae,Notodonta,dromedarius,,,,"(Linnaeus, 1758)"
Notodontidae,Notodonta,torva,,,,"(H\u00fcbner, 1803)"
Notodontidae,Notodonta,tritophus,,,,"(Denis & Schifferm\u00fcller, 1775)"
Notodontidae,Notodonta,ziczac,,,,"(Linnaeus, 1758)"
Arctiidae,Nudaria,mundana,,,,"(Linnaeus, 1761)"
Geometridae,Nychiodes,dalmatina,,,,"Wagner, 1909"
Geometridae,Nychiodes,obscuraria,,,,"(de Villers, 1789)"
Nolidae,Nycteola,asiatica,,,,"(Kroulikowsky, 1904)"
Nolidae,Nycteola,columbana,,,,"(Turner, 1925)"
Nolidae,Nycteola,degenerana,,,,"(H\u00fcbner, 1799)"
Nolidae,Nycteola,revayana,,,,"(Scopoli, 1772)"
Nolidae,Nycteola,siculana,,,,"(Fuchs, 1899)"
Nymphalidae,Nymphalis,antiopa,,,,"(Linnaeus, 1758)"
Nymphalidae,Nymphalis,polychloros,,,,"(Linnaeus, 1758)"
Hesperiidae,Ochlodes,sylvanus,,,,"(Esper, 1777)"
Hesperiidae,Ochlodes,venata,,,,"(Bremer & Grey, 1853)"
Geometridae,Ochodontia,adustaria,,,,"(Fischer von Waldheim, 1840)"
Drepanidae,Ochropacha,duplaris,,,,"(Linnaeus, 1761)"
Noctuidae,Ochropleura,celsicola,,,,"(Bellier, 1859)"
Noctuidae,Ochropleura,flammatra,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Ochropleura,leucogaster,,,,"(Freyer, 1831)"
Noctuidae,Ochropleura,musiva,,,,"(H\u00fcbner, 1803)"
Noctuidae,Ochropleura,plecta,,,,"(Linnaeus, 1761)"
Lymantriidae,Ocneria,rubea,,,,"(Fabricius, 1787)"
Arctiidae,Ocnogyna,parasita,,,,"(H\u00fcbner, 1790)"
Geometridae,Odezia,atrata,,,,"(Linnaeus, 1758)"
Lasiocampidae,Odonestis,pruni,,,,"(Linnaeus, 1758)"
Geometridae,Odontognophos,dumetata,,,,"(Treitschke, 1827)"
Geometridae,Odontopera,bidentata,,,,"(Clerck, 1759)"
Notodontidae,Odontosia,carmelita,,,,"(Esper, 1799)"
Nymphalidae,Oeneis,aello,,,,"(H\u00fcbner, 1804)"
Nymphalidae,Oeneis,glacialis,,,,"(Moll, 1783)"
Noctuidae,Oligia,dubia,,,,"(Heydemann, 1942)"
Noctuidae,Oligia,fasciuncula,,,,"(Haworth, 1809)"
Noctuidae,Oligia,latruncula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Oligia,strigilis,,,,"(Linnaeus, 1758)"
Noctuidae,Oligia,versicolor,,,,"(Borkhausen, 1792)"
Noctuidae,Omia,cymbalariae,,,,"(H\u00fcbner, 1809)"
Noctuidae,Omphalophana,antirrhinii,,,,"(H\u00fcbner, 1803)"
Noctuidae,Omphaloscelis,lunosa,,,,"(Haworth, 1809)"
Geometridae,Operophtera,brumata,,,,"(Linnaeus, 1758)"
Geometridae,Operophtera,fagata,,,,"(Scharfenberg, 1805)"
Noctuidae,Ophiusa,tirhaca,,,,"(Cramer, 1773)"
Noctuidae,Opigena,polygona,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Opisthograptis,luteolata,,,,"(Linnaeus, 1758)"
Noctuidae,Orbona,fragariae,,,,"(Vieweg, 1790)"
Noctuidae,Orectis,proboscidata,,,,"(Herrich-Sch\u00e4ffer, 1851)"
Psychidae,Oreopsyche,tenella,,,,"(Ad. Speyer, 1862)"
Psychidae,Oreopsyche,vorbrodtella,,,,"(Wehrli, 1920)"
Lymantriidae,Orgyia,antiqua,,,,"(Linnaeus, 1758)"
Lymantriidae,Orgyia,recens,,,,"(H\u00fcbner, 1819)"
Geometridae,Ortholitha,limitata,,,,"Scopoli, 1763"
Geometridae,Orthonama,obstipata,,,,"(Fabricius, 1794)"
Geometridae,Orthonama,vittata,,,,"(Borkhausen, 1794)"
Noctuidae,Orthosia,cerasi,,,,"(Fabricius, 1775)"
Noctuidae,Orthosia,cruda,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Orthosia,gothica,,,,"(Linnaeus, 1758)"
Noctuidae,Orthosia,gracilis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Orthosia,incerta,,,,"(Hufnagel, 1766)"
Noctuidae,Orthosia,instabilis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Orthosia,miniosa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Orthosia,munda,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Orthosia,opima,,,,"(H\u00fcbner, 1809)"
Noctuidae,Orthosia,populeti,,,,"(Fabricius, 1781)"
Noctuidae,Orthosia,rorida,,,,"Frivaldsky, 1835"
Noctuidae,Orthosia,stabilis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Ourapteryx,sambucaria,,,,"(Linnaeus, 1758)"
Noctuidae,Oxicesta,nervosa,,,,"de Villers, 1789"
Noctuidae,Pachetra,sagittigera,,,,"(Hufnagel, 1766)"
Geometridae,Pachycnemia,hippocastanaria,,,,"(H\u00fcbner, 1799)"
Psychidae,Pachythelia,villosella,,,,"(Ochsenheimer, 1810)"
Arctiidae,Paidia,rica,,,,"(Freyer, 1858)"
Noctuidae,Panchrysia,deaurata,,,,"(Esper, 1787)"
Noctuidae,Panchrysia,v-argenteum,,,,"(Esper, 1798)"
Nymphalidae,Pandoriana,pandora,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Panemeria,tenebrata,,,,"(Scopoli, 1763)"
Noctuidae,Panolis,flammea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Pantheidae,Panthea,coenobita,,,,"(Esper, 1785)"
Noctuidae,Papestra,biren,,,,"(Goeze, 1781)"
Papilionidae,Papilio,agestor,,,,"Gray, 1831"
Papilionidae,Papilio,alcmenor,,,,"C. & R. Felder, [1864]"
Papilionidae,Papilio,alexanor,,,,"Esper, 1800"
Papilionidae,Papilio,demolion,,,,"Cramer, [1776]"
Papilionidae,Papilio,elwesi,,,,"Leech, 1889"
Papilionidae,Papilio,helenus,,,,"Linnaeus, 1758"
Papilionidae,Papilio,hospiton,,,,"G\u00e9n\u00e9, 1839"
Papilionidae,Papilio,machaon,,,,"Linnaeus, 1758"
Papilionidae,Papilio,memnon,,,,"Linnaeus, 1758"
Papilionidae,Papilio,nephelus,,,,"Boisduval, 1836"
Papilionidae,Papilio,polytes,,,,"Linnaeus, 1758"
Papilionidae,Papilio,protenor,,,,"Cramer, [1775]"
Papilionidae,Papilio,saharae,,,,"(Oberth\u00fcr, 1879)"
Papilionidae,Papilio,xuthus,,,,"Linnaeus, 1767"
Geometridae,Paraboarmia,viertlii,,,,"(Bohatsch, 1883)"
Noctuidae,Paracolax,derivalis,,,,"(H\u00fcbner, 1796)"
Noctuidae,Paracolax,tristalis,,,,"(Fabricius, 1794)"
Geometridae,Paradarisa,consonaria,,,,"(H\u00fcbner, 1799)"
Noctuidae,Paradiarsia,glareosa,,,,"(Esper, 1788)"
Noctuidae,Paradiarsia,punicea,,,,"(H\u00fcbner, 1803)"
Noctuidae,Paradrina,clavipalpis,,,,"(Scopoli, 1763)"
Noctuidae,Paradrina,flavirena,,,,"(Guen\u00e9e, 1852)"
Noctuidae,Paradrina,noctivaga,,,,"(Bellier, 1863)"
Noctuidae,Paradrina,selini,,,,"(Boisduval, 1840)"
Noctuidae,Paradrina,wullschlegeli,,,,"(P\u00fcngeler, 1903)"
Sesiidae,Paranthrene,insolitus,,,,"Le Cerf, 1914"
Sesiidae,Paranthrene,tabaniformis,,,,"(Rottemburg, 1775)"
Nymphalidae,Pararge,aegeria,,,,"(Linnaeus, 1758)"
Noctuidae,Parascotia,fuliginaria,,,,"(Linnaeus, 1761)"
Arctiidae,Parasemia,plantaginis,,,,"(Linnaeus, 1758)"
Noctuidae,Parastichtis,suspecta,,,,"(H\u00fcbner, 1817)"
Noctuidae,Parastichtis,ypsillon,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Parectropis,similaria,,,,"(Hufnagel, 1767)"
Geometridae,Pareulype,berberata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Parexarnis,fugax,,,,"(Treitschke, 1825)"
Papilionidae,Parnassius,acco,,,,"Gray, [1853]"
Papilionidae,Parnassius,actius,,,,"(Eversmann, 1843)"
Papilionidae,Parnassius,apollo,,,,"(Linnaeus, 1758)"
Papilionidae,Parnassius,apollonius,,,,"(Eversmann, 1847)"
Papilionidae,Parnassius,autocrator,,,,"Avinoff, 1913"
Papilionidae,Parnassius,cephalus,,,,"Grum-Grshimailo, 1891"
Papilionidae,Parnassius,charitonius,,,,"Gray, [1853]"
Papilionidae,Parnassius,delius,,,,"(Esper, 1800)"
Papilionidae,Parnassius,delphius,,,,"Eversmann, 1843"
Papilionidae,Parnassius,eversmannii,,,,"M\u00e9n\u00e9tri\u00e9s, [1850]"
Papilionidae,Parnassius,felderi,,,,"Bremer, 1861"
Papilionidae,Parnassius,glacialis,,,,"Butler, 1866"
Papilionidae,Parnassius,hardwickii,,,,"Gray, 1831"
Papilionidae,Parnassius,imperator,,,,"Oberth\u00fcr, 1883"
Papilionidae,Parnassius,mnemosyne,,,,"(Linnaeus, 1758)"
Papilionidae,Parnassius,nomion,,,,"Fischer de Waldheim, 1823"
Papilionidae,Parnassius,nordmanni,,,,"M\u00e9n\u00e9tri\u00e9s, [1850]"
Papilionidae,Parnassius,phoebus,,,,"(Fabricius, 1793)"
Papilionidae,Parnassius,przewalskii,,,,"Alph\u00e9raky, 1887"
Papilionidae,Parnassius,simo,,,,"Gray, [1853]"
Papilionidae,Parnassius,staudingeri,,,,"Bang-Haas, 1882"
Papilionidae,Parnassius,stubbendorfii,,,,"M\u00e9n\u00e9tri\u00e9s, 1849"
Papilionidae,Parnassius,szechenyii,,,,"Frifaldszky, 1886"
Papilionidae,Parnassius,tianschanicus,,,,"Oberth\u00fcr, 1879"
Noctuidae,Pechipogo,plumigeralis,,,,"(H\u00fcbner, 1825)"
Noctuidae,Pechipogo,strigilata,,,,"(Linnaeus, 1758)"
Arctiidae,Pelosia,muscerda,,,,"(Hufnagel, 1766)"
Arctiidae,Pelosia,obtusa,,,,"(Herrich-Sch\u00e4ffer, 1847)"
Geometridae,Pelurga,comitata,,,,"(Linnaeus, 1758)"
Sesiidae,Pennisetia,hylaeiformis,,,,"(Laspeyres, 1801)"
Geometridae,Pennithera,firmata,,,,"(H\u00fcbner, 1822)"
Lymantriidae,Penthophera,morio,,,,"Linnaeus, 1767"
Geometridae,Perconia,strigillaria,,,,"(H\u00fcbner, 1787)"
Geometridae,Peribatodes,perversaria,,,,"(Boisduval, 1840)"
Geometridae,Peribatodes,rhomboidaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Peribatodes,secundaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Peribatodes,umbraria,,,,"(H\u00fcbner, 1809)"
Arctiidae,Pericallia,matronula,,,,"(Linnaeus, 1758)"
Notodontidae,Peridea,anceps,,,,"(Goeze, 1781)"
Noctuidae,Peridroma,saucia,,,,"(H\u00fcbner, 1808)"
Noctuidae,Perigrapha,i-cinctum,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Periphanes,delphinii,,,,"(Linnaeus, 1758)"
Geometridae,Perizoma,affinitata,,,,"(Stephens, 1831)"
Geometridae,Perizoma,albulata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Perizoma,alchemillata,,,,"(Linnaeus, 1758)"
Geometridae,Perizoma,bifaciata,,,,"(Haworth, 1809)"
Geometridae,Perizoma,blandiata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Perizoma,didymata,,,,"(Linnaeus, 1758)"
Geometridae,Perizoma,flavofasciata,,,,"(Thunberg, 1792)"
Geometridae,Perizoma,hydrata,,,,"(Treitschke, 1829)"
Geometridae,Perizoma,incultaria,,,,"(Herrich-Sch\u00e4ffer, 1848)"
Geometridae,Perizoma,juracolaria,,,,"(Wehrli, 1919)"
Geometridae,Perizoma,lugdunaria,,,,"(Herrich-Sch\u00e4ffer, 1855)"
Geometridae,Perizoma,minorata,,,,"(Treitschke, 1828)"
Geometridae,Perizoma,obsoletata,,,,"(Herrich-Sch\u00e4ffer, 1838)"
Geometridae,Perizoma,parallelolineata,,,,"(Retzius, 1783)"
Geometridae,Perizoma,sagittata,,,,"(Fabricius, 1787)"
Geometridae,Perizoma,taeniata,,,,"(Stephens, 1831)"
Geometridae,Perizoma,verberata,,,,"(Scopoli, 1763)"
Geometridae,Petrophora,chlorosata,,,,"(Scopoli, 1763)"
Psychidae,Phalacropterix,graslinella,,,,"(Boisduval, 1852)"
Psychidae,Phalacropterix,praecellens,,,,"(Staundinger, 1870)"
Notodontidae,Phalera,bucephala,,,,"(Linnaeus, 1758)"
Hepialidae,Pharmacis,anselminae,,,,"(Teobaldelli, 1977)"
Hepialidae,Pharmacis,carna,,,,"Esper, 1785"
Hepialidae,Pharmacis,claudiae,,,,"Kristal & Hirneisen, 1994"
Hepialidae,Pharmacis,fusconebulosa,,,,"(DeGeer, 1778)"
Notodontidae,Pheosia,gnoma,,,,"(Fabricius, 1776)"
Notodontidae,Pheosia,tremula,,,,"(Clerck, 1759)"
Geometridae,Phibalapteryx,virgata,,,,"(Hufnagel, 1767)"
Geometridae,Philereme,transversata,,,,"(Hufnagel, 1767)"
Geometridae,Philereme,vetulata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Phlogophora,meticulosa,,,,"(Linnaeus, 1758)"
Noctuidae,Phlogophora,scita,,,,"(H\u00fcbner, 1790)"
Noctuidae,Photedes,captiuncula,,,,"(Treitschke, 1825)"
Noctuidae,Photedes,minima,,,,"(Haworth, 1809)"
Noctuidae,Photedes,morrisii,,,,"Dale, 1837"
Cossidae,Phragmataecia,castaneae,,,,"(H\u00fcbner, 1790)"
Noctuidae,Phragmatiphila,nexa,,,,"(H\u00fcbner, 1808)"
Arctiidae,Phragmatobia,caesarea,,,,"(G\u00f6ze, 1781)"
Arctiidae,Phragmatobia,fuliginosa,,,,"(Linnaeus, 1758)"
Arctiidae,Phragmatobia,luctifera,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lasiocampidae,Phyllodesma,ilicifolia,,,,"(Linnaeus, 1758)"
Lasiocampidae,Phyllodesma,tremulifolia,,,,"(H\u00fcbner, 1810)"
Noctuidae,Phyllophila,obliterata,,,,"(Rambur, 1833)"
Hepialidae,Phymatopus,hectus,,,,"(Linnaeus, 1758)"
Noctuidae,Phytometra,viridaria,,,,"(Clerck, 1759)"
Pieridae,Pieris,balcana,,,,"Lorkovic, 1970"
Pieridae,Pieris,bowdeni,,,,"Eitschberger, 1984"
Pieridae,Pieris,brassicae,,,,"(Linnaeus, 1758)"
Pieridae,Pieris,bryoniae,,,,"(H\u00fcbner, 1806)"
Pieridae,Pieris,canidia,,,,"(Linnaeus, 1768)"
Pieridae,Pieris,cheiranthi,,,,"(H\u00fcbner, [1823])"
Pieridae,Pieris,ergane,,,,"(Geyer, [1828])"
Pieridae,Pieris,extensa,,,,"Poujade, 1888"
Pieridae,Pieris,krueperi,,,,"Staudinger, 1860"
Pieridae,Pieris,mannii,,,,"(Mayer, 1851)"
Pieridae,Pieris,melete,,,,"M\u00e9n\u00e9tri\u00e9s, 1857"
Pieridae,Pieris,napi,,,,"(Linnaeus, 1758)"
Pieridae,Pieris,narina,,,,"Verity, 1908"
Pieridae,Pieris,ochsenheimeri,,,,"Staudinger, 1886"
Pieridae,Pieris,persis,,,,"(Verity, 1922)"
Pieridae,Pieris,pseudorapae,,,,"(Verity, 1908)"
Pieridae,Pieris,rapae,,,,"(Linnaeus, 1758)"
Pieridae,Pieris,tadjika,,,,"Grum-Grshimailo, 1888"
Geometridae,Plagodis,dolabraria,,,,"(Linnaeus, 1767)"
Geometridae,Plagodis,pulveraria,,,,"(Linnaeus, 1758)"
Noctuidae,Platyperigea,aspersa,,,,"(Rambur, 1834)"
Noctuidae,Platyperigea,ingrata,,,,"(Staudinger, 1897)"
Noctuidae,Platyperigea,kadenii,,,,"(Freyer, 1836)"
Noctuidae,Platyperigea,montana,rougemonti,,,"(Spuler, 1908)"
Noctuidae,Platyperigea,terrea,,,,"(Freyer, 1840)"
Lycaenidae,Plebejides,pylaon,,,,"(Fischer, 1832)"
Lycaenidae,Plebejus,argus,,,,"(Linnaeus, 1758)"
Lycaenidae,Plebejus,argus,,,,"(Linnaeus, 1758)"
Lycaenidae,Plebejus,argyrognomon,,,,"(Bergstr\u00e4sser, 1779)"
Lycaenidae,Plebejus,glandon,,,,"(Prunner, 1798)"
Lycaenidae,Plebejus,idas,,,,"(Linnaeus, 1761)"
Lycaenidae,Plebejus,lycidas,,,,"(Trapp, 1863)"
Lycaenidae,Plebejus,optilete,,,,"(Knoch, 1781)"
Lycaenidae,Plebejus,orbitulus,,,,"(Prunner, 1798)"
Lycaenidae,Plebejus,trappi,,,,"(Verity, 1927)"
Lycaenidae,Plebicula,amanda,,,,"(Schneider, 1792)"
Lycaenidae,Plebicula,argester,,,,"(Bergstraesser, 1779)"
Lycaenidae,Plebicula,dorylas,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Plebicula,escheri,,,,"(Huebner, 1823)"
Lycaenidae,Plebicula,hylas,,,,"(Esper, 1793)"
Lycaenidae,Plebicula,thersites,,,,"(Cantener, 1834)"
Geometridae,Plemyria,rubiginata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Plusia,festucae,,,,"(Linnaeus, 1758)"
Noctuidae,Plusia,putnami,gracilis,,,"(Lempke, 1966)"
Lasiocampidae,Poecilocampa,alpina,,,,"(Frey & Wullschlegel, 1874)"
Lasiocampidae,Poecilocampa,populi,,,,"(Linnaeus, 1758)"
Noctuidae,Polia,bombycina,,,,"(Hufnagel, 1766)"
Noctuidae,Polia,hepatica,,,,"(Clerck, 1759)"
Noctuidae,Polia,nebulosa,,,,"(Hufnagel, 1766)"
Noctuidae,Polia,serratilinea,,,,"Ochsenheimer, 1816"
Noctuidae,Polychrysia,moneta,,,,"(Fabricius, 1787)"
Nymphalidae,Polygonia,c-album,,,,"(Linnaeus, 1758)"
Nymphalidae,Polygonia,egea,,,,"(Cramer, 1775)"
Noctuidae,Polymixis,caerulescens,,,,"(Boisduval, 1840)"
Noctuidae,Polymixis,canescens,,,,"Duponchel, 1826"
Noctuidae,Polymixis,dubia,,,,"(Duponchel, 1836)"
Noctuidae,Polymixis,flavicincta,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Polymixis,gemmea,,,,"(Treitschke, 1825)"
Noctuidae,Polymixis,polymita,,,,"(Linnaeus, 1761)"
Noctuidae,Polymixis,rufocincta,,,,"(Geyer, 1828)"
Noctuidae,Polymixis,xanthomista,,,,"(H\u00fcbner, 1819)"
Lycaenidae,Polyommatus,amandus,,,,"(Schneider, 1792)"
Lycaenidae,Polyommatus,bellargus,,,,"(Rottemburg, 1775)"
Lycaenidae,Polyommatus,coridon,,,,"(Poda, 1761)"
Lycaenidae,Polyommatus,damon,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Polyommatus,daphnis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Polyommatus,dorylas,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Polyommatus,eros,,,,"(Ochsenheimer, 1808)"
Lycaenidae,Polyommatus,escheri,,,,"(H\u00fcbner, 1823)"
Lycaenidae,Polyommatus,icarus,,,,"(Rottemburg, 1775)"
Lycaenidae,Polyommatus,semiargus,,,,"(Rottemburg, 1775)"
Lycaenidae,Polyommatus,thersites,,,,"(Cantener, 1835)"
Noctuidae,Polyphaenis,sericata,,,,"(Esper, 1787)"
Drepanidae,Polyploca,ridens,,,,"(Fabricius, 1787)"
Noctuidae,Polypogon,gryphalis,,,,"(Herrich-Sch\u00e4ffer, 1851)"
Noctuidae,Polypogon,tentacularia,,,,"(Linnaeus, 1758)"
Pieridae,Pontia,callidice,,,,"(H\u00fcbner, 1800)"
Pieridae,Pontia,chlorodice,,,,"(H\u00fcbner, 1813)"
Pieridae,Pontia,daplidice,,,,"(Linnaeus, 1758)"
Pieridae,Pontia,edusa,,,,"(Fabricius, 1777)"
Pieridae,Pontia,glauconome,,,,"(Klug, 1829)"
Psychidae,Postsolenobia,thomanni,,,,"(Rebel, 1936)"
Geometridae,Problepsis,ocellata,,,,"(Frivaldszky, 1845)"
