Family,Genus,SpecificEpithet,SubspecificEpithet,InfraspecificEpithet,InfraspecificRank,Authorship
Noctuidae,Heliothis,viriplaca,,,,"(Hufnagel, 1766)"
Sphingidae,Hemaris,fuciformis,,,,"(Linnaeus, 1758)"
Sphingidae,Hemaris,tityus,,,,"(Linnaeus, 1758)"
Geometridae,Hemistola,chrysoprasaria,,,,"(Esper, 1794)"
Geometridae,Hemithea,aestivaria,,,,"(H\u00fcbner, 1799)"
Hepialidae,Hepialus,humuli,,,,"(Linnaeus, 1758)"
Noctuidae,Herminia,grisealis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Herminia,nemoralis,,,,"(Fabricius, 1775)"
Noctuidae,Herminia,tarsicrinalis,,,,"(Knoch, 1782)"
Noctuidae,Herminia,tenuialis,,,,"(Rebel, 1899)"
Hesperiidae,Hesperia,comma,,,,"(Linnaeus, 1758)"
Limacodidae,Heterogenea,asella,,,,"(Denis & Schifferm\u00fcller, 1775)"
Heterogynidae,Heterogynis,penella,,,,"H\u00fcbner, 1818"
Hesperiidae,Heteropterus,morpheus,,,,"(Pallas, 1771)"
Nymphalidae,Hipparchia,aelia,,,,"(Hoffmann, 1804)"
Nymphalidae,Hipparchia,alcyone,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Hipparchia,fagi,,,,"(Scopoli, 1763)"
Nymphalidae,Hipparchia,genava,,,,"(Fruhstorfer, 1908)"
Nymphalidae,Hipparchia,hermione,,,,"(Linnaeus, 1764)"
Nymphalidae,Hipparchia,semele,,,,"(Linnaeus, 1758)"
Nymphalidae,Hipparchia,statilinus,,,,"(Hufnagel, 1766)"
Sphingidae,Hippotion,celerio,,,,"(Linnaeus, 1758)"
Arctiidae,Holoarctia,cervini,,,,"(Fallou, 1864)"
Noctuidae,Hoplodrina,alsines,,,,"(Brahm, 1791)"
Noctuidae,Hoplodrina,ambigua,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Hoplodrina,blanda,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Hoplodrina,octogenaria,,,,"(Goeze, 1781)"
Noctuidae,Hoplodrina,respersa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Hoplodrina,superstes,,,,"(Ochsenheimer, 1816)"
Geometridae,Horisme,aemulata,,,,"(H\u00fcbner, 1813)"
Geometridae,Horisme,aquata,,,,"(H\u00fcbner, 1813)"
Geometridae,Horisme,calligraphata,,,,"(Herrich-Sch\u00e4ffer, 1839)"
Geometridae,Horisme,laurinata,,,,"(Schawerda, 1919)"
Geometridae,Horisme,radicaria,,,,"(La Harpe, 1855)"
Geometridae,Horisme,tersata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Horisme,testaceata,,,,"(H\u00fcbner, 1809)"
Geometridae,Horisme,vitalbata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Hydraecia,micacea,,,,"(Esper, 1789)"
Noctuidae,Hydraecia,petasitis,,,,"Doubleday, 1847"
Geometridae,Hydrelia,flammeolaria,,,,"(Hufnagel, 1767)"
Geometridae,Hydrelia,sylvata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Hydria,undulata,,,,"(Linnaeus, 1758)"
Geometridae,Hydriomena,furcata,,,,"(Thunberg, 1784)"
Geometridae,Hydriomena,impluviata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Hydriomena,ruberata,,,,"(Freyer, 1831)"
Geometridae,Hylaea,fasciaria,,,,"(Linnaeus, 1758)"
Sphingidae,Hyles,euphorbiae,,,,"(Linnaeus, 1758)"
Sphingidae,Hyles,galii,,,,"(Rottemburg, 1775)"
Sphingidae,Hyles,hippophaes,,,,"(Esper, 1793)"
Sphingidae,Hyles,livornica,,,,"(Esper, 1780)"
Sphingidae,Hyles,vespertilio,,,,"(Esper, 1779)"
Sphingidae,Hyloicus,pinastri,,,,"(Linnaeus, 1758)"
Noctuidae,Hypena,crassalis,,,,"(Fabricius, 1787)"
Noctuidae,Hypena,lividalis,,,,"(H\u00fcbner, 1796)"
Noctuidae,Hypena,munitalis,,,,"Mann, 1861"
Noctuidae,Hypena,obesalis,,,,"Treitschke, 1828"
Noctuidae,Hypena,obsitalis,,,,"(H\u00fcbner, 1813)"
Noctuidae,Hypena,palpalis,,,,"H\u00fcbner, 1796"
Noctuidae,Hypena,proboscidalis,,,,"(Linnaeus, 1758)"
Noctuidae,Hypena,rostralis,,,,"(Linnaeus, 1758)"
Noctuidae,Hypenodes,humidalis,,,,"Doubleday, 1850"
Noctuidae,Hypenodes,turfosalis,,,,"(Wocke, 1850)"
Arctiidae,Hyphantria,cunea,,,,"(Drury, 1773)"
Arctiidae,Hyphoraia,aulica,,,,"(Linnaeus, 1758)"
Arctiidae,Hyphoraia,testudinaria,,,,"(Fourcroy, 1785)"
Nymphalidae,Hypodryas,cynthia,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Hypodryas,intermedia,,,,"(Menetries, 1859)"
Geometridae,Hypomecis,punctinalis,,,,"(Scopoli, 1763)"
